Country,work- Agree strongly,work-Agree,work-Neither agree nor disagree,work-Disagree,work-Disagree strongly,work-Don´t know,work-No answer,Very happy,Quite happy,Not very happy,Not at all happy,Don´t know,No answer
Norway,23.5,32.7,10.8,23.9,9.2,0,0,40.8,53.3,5.1,0.5,0.3,0
Pakistan,57.6,23,9.3,5.6,3.1,1.4,0.1,47.8,41.4,8.2,2.5,0.1,0
Peru,15.1,53.4,17.7,11.2,1.5,0.8,0.3,35.4,45.4,18.2,0.6,0.2,0.3
Philippines,20.4,51.6,15.8,11.3,1,0,0,53,38.4,7.7,0.7,0.1,0
Poland,10.8,26.2,16.5,34.8,10.8,0.8,0,31.5,59.4,7.9,0.7,0.4,0.1
Portugal,11,42.5,22.6,20.4,3.2,0.3,0,18.6,69.2,10.2,1.6,0.4,0
Puerto Rico,17,21.1,14,29,18.1,0,0.7,50.3,40.2,7.5,1.6,0,0.4
Romania,26,33.9,19.7,13.4,5.5,1.1,0.4,20.2,57.7,18.1,3.1,0.6,0.3
Russia,13.9,21,32.9,23.1,7,2,0,14.7,64.7,16,1.6,2.8,0.1
Serbia,17.9,28.4,25.3,20.5,5.9,0.7,1.3,15.8,63.9,18.1,1.4,0.6,0.1
Singapore,4.3,34.6,24.2,30.8,6,0,0,25.8,63.1,9.9,1,0,0.1
Slovakia,23.2,36.9,26.7,8.7,4.1,0.2,0.1,19.3,69.5,8.8,0.9,0.5,0.9
Vietnam,13,67.4,9.9,9,0.7,0,0,47.9,49.4,2.2,0.5,0,0
Slovenia,10.3,36.5,22,26.7,4.1,0.3,0.2,21,62.6,15.7,0.6,0.1,0.1
Zimbabwe,33.5,52.7,3.4,9.1,1.2,0.2,0,17.7,34.2,31.9,16,0.1,0
Spain,13,32.3,21.2,25.6,7.6,0.4,0,21.8,67,9.8,1.2,0.1,0.1
Sweden,8.5,24.5,23.5,32,10.9,0.7,0,39.4,54.4,5.6,0.6,0,0.1
Switzerland,5.9,23.5,25.6,32.6,11.6,0.2,0.7,34.1,58.9,5.7,0.7,0.1,0.5
Tajikistan,47.8,36.2,10.6,4.1,1.2,0,0,62.4,32,5.3,0.2,0,0
Thailand,19.5,33.8,23,16.4,3.1,1.9,0.5,32,51.4,15.1,1.1,0,0
Tunisia,51.2,32.3,8.9,7,0.5,0,0.1,15.3,61.3,19.9,3.4,0.2,0
Turkey,12.2,39.8,27.5,13.5,4.9,1.5,0.7,22.3,62.7,12.7,2,0.2,0.2
Ukraine,10.1,24.9,27.3,28.5,5.7,2.2,1.4,17.7,58.6,17.1,3,3.3,0.3
North Macedonia,19.8,19.3,25.9,21.7,9.7,2.1,1.5,34.5,52.3,9.3,1.6,0.8,1.4
Egypt,61.2,30.7,3.8,2.3,1,1,0.1,6.4,65.2,22.8,5.5,0.1,0
United Kingdom,4.5,23.2,19.8,44.4,7.9,0.2,0,40.8,52.6,5.4,1.1,0,0
United States,6.2,21.2,27.4,34.3,10,0,0.8,28.4,59.8,10.2,1.4,0,0.2
Venezuela,23.4,40.5,18.1,14.3,3.7,0,0,37.2,41.8,17.6,3.4,0,0
